show_id,type_id,title,date_added,release_year,rating_id,duration,description
34,0,A Champion Heart,"September 4, 2021",2018,0,90 min,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected."
35,0,Anjaam,"September 2, 2021",1994,6,143 min,"A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge."
36,0,Bright Star,"September 2, 2021",2009,3,119 min,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.
37,0,Dhanak,"September 2, 2021",2015,9,114 min,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.
38,0,Gurgaon,"September 2, 2021",2017,6,106 min,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own."
39,0,In the Cut,"September 2, 2021",2003,5,118 min,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime."
40,0,Shikara,"September 2, 2021",2020,6,115 min,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.
41,0,A Cinderella Story,"September 1, 2021",2004,3,95 min,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?
42,0,An Unfinished Life,"September 1, 2021",2005,4,108 min,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive."
43,0,Blade Runner: The Final Cut,"September 1, 2021",1982,5,117 min,"In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants."""
44,0,Chappie,"September 1, 2021",2015,5,121 min,"In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence."
45,0,Clear and Present Danger,"September 1, 2021",1994,4,142 min,"When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel."
46,0,Cliffhanger,"September 1, 2021",1993,5,113 min,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers."
47,0,Cold Mountain,"September 1, 2021",2003,5,154 min,"This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm."
48,0,Crocodile Dundee in Los Angeles,"September 1, 2021",2001,3,95 min,"When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel."
49,0,Dear John,"September 1, 2021",2010,4,108 min,"While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together."
50,0,Do the Right Thing,"September 1, 2021",1989,5,120 min,"On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy."
51,0,"El patrón, radiografía de un crimen","September 1, 2021",2014,8,100 min,A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.
52,0,Extraction,"September 1, 2021",2015,5,82 min,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot."
53,0,Freedom Writers,"September 1, 2021",2007,4,124 min,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives."
54,0,Green Lantern,"September 1, 2021",2011,4,114 min,Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.
55,0,House Party,"September 1, 2021",1990,5,104 min,"Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another."
56,0,House Party 2,"September 1, 2021",1991,5,94 min,"Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash."
57,0,House Party 3,"September 1, 2021",1994,5,94 min,"After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications."
58,0,I Got the Hook Up,"September 1, 2021",1998,5,93 min,"After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van."
59,0,In Too Deep,"September 1, 2021",1999,5,97 min,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder."
60,0,Initial D,"September 1, 2021",2005,6,109 min,"By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel."
61,0,Janoskians: Untold and Untrue,"September 1, 2021",2016,8,88 min,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.
62,0,Labyrinth,"September 1, 2021",1986,3,101 min,"In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin."
63,0,Letters to Juliet,"September 1, 2021",2010,3,105 min,"By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance."
64,0,Level 16,"September 1, 2021",2018,6,102 min,"In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape."
65,0,Love Don't Cost a Thing,"September 1, 2021",2003,4,101 min,A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.
66,0,Love in a Puff,"September 1, 2021",2010,8,103 min,"When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections."
67,0,Mars Attacks!,"September 1, 2021",1996,4,106 min,"As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace."
68,0,Marshall,"September 1, 2021",2017,4,118 min,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer."
69,0,My Boss's Daughter,"September 1, 2021",2003,5,86 min,"A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush."
70,0,Mystery Men,"September 1, 2021",1999,4,121 min,A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.
71,0,Once Upon a Time in America,"September 1, 2021",1984,5,229 min,Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.
72,0,Open Season 2,"September 1, 2021",2008,3,76 min,Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.
73,0,Osmosis Jones,"September 1, 2021",2001,3,95 min,Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.
74,0,Poseidon,"September 1, 2021",2006,4,98 min,"A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival."
75,0,Rhyme & Reason,"September 1, 2021",1997,5,89 min,"The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts."
76,0,Same Kind of Different as Me,"September 1, 2021",2017,4,120 min,A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.
77,0,School of Rock,"September 1, 2021",2003,4,110 min,"Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll."
78,0,Snervous Tyler Oakley,"September 1, 2021",2015,4,83 min,"The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour."
79,0,Tears of the Sun,"September 1, 2021",2003,5,121 min,"A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care."
80,0,The Blue Lagoon,"September 1, 2021",1980,5,105 min,"Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise."
81,0,The Golden Child,"September 1, 2021",1986,4,94 min,A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers.
82,0,The Guns of Navarone,"September 1, 2021",1961,6,156 min,"During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel."
83,0,The Interview,"September 1, 2021",2014,5,112 min,Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.
84,0,The Nutty Professor,"September 1, 2021",1996,4,95 min,"After being made fun of for his weight, a kind and brainy professor takes a dose of a revolutionary formula that changes more than just his appearance."
85,0,Welcome Home Roscoe Jenkins,"September 1, 2021",2008,4,114 min,"R.J. travels to Georgia for his parents' 50th anniversary. But after pompously flaunting his Hollywood lifestyle, he must examine what he's become."
86,0,In the Line of Fire,"August 31, 2021",1993,5,129 min,A twisted yet ingenious killer torments a veteran Secret Service agent who's haunted by his failure years ago to save President John F. Kennedy.
87,0,2 Alone in Paris,"August 28, 2021",2008,8,97 min,"A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth."
88,0,Thimmarusu,"August 28, 2021",2021,6,125 min,"Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit."
89,0,Wind River,"August 28, 2021",2017,5,107 min,A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent who's investigating a teen girl's murder on a remote Wyoming reservation.
90,0,C Kkompany,"August 27, 2021",2008,6,127 min,"Three broke friends pose as an underworld gang for extortion, but their plan takes on a life of its own when their phony company becomes famous."
91,0,EMI: Liya Hai To Chukana Padega,"August 27, 2021",2008,6,128 min,A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.
92,1,King of Boys: The Return of the King,"August 27, 2021",2021,8,1 Season,"Alhaja Eniola Salami starts anew and sets her sights on a different position of power, fueled by revenge, regret and ruthlessness."
93,0,Koi Aap Sa,"August 27, 2021",2006,6,135 min,"Star athlete Rohan has his eye on a beautiful art student. But when his best friend Simran experiences a crisis, he drops everything to help her."
94,0,Krishna Cottage,"August 27, 2021",2004,6,124 min,True love is put to the test when another woman comes between a pair of star-crossed young lovers in this thriller.
95,0,Kucch To Hai,"August 27, 2021",2003,6,136 min,"A student tries to steal a test from a teacher's home, leaving him for dead after an accident. A string of murders may be the professor's revenge."
96,0,Kyaa Kool Hai Hum,"August 27, 2021",2005,8,165 min,"Longtime friends Rahul and Karan head to Mumbai intent on making their dreams come true, but both men are suddenly saddled with bad luck."
97,0,Kyaa Kool Hain Hum 3,"August 27, 2021",2016,8,124 min,"When an unlikely porn actor falls for a woman outside the industry, he employs his co-stars as a stand-in traditional family to impress her father."
98,0,Kyaa Super Kool Hain Hum,"August 27, 2021",2012,8,136 min,An aspiring actor and a struggling DJ team up to pursue the ladies they love and a diamond that rightfully belongs to their oversexed dog.
99,0,Kyo Kii... Main Jhuth Nahin Bolta,"August 27, 2021",2001,6,150 min,The life and career of a lawyer are thrown into chaos when his son's wish magically renders him incapable of telling a lie.
100,0,"LSD: Love, Sex Aur Dhokha","August 27, 2021",2010,8,112 min,This provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in Northern India.
101,0,Mission Istaanbul: Darr Ke Aagey Jeet Hai,"August 27, 2021",2008,6,119 min,A television journalist makes a risky career move by accepting a job offer from a controversial Istanbul television station.
102,0,Once Upon a Time in Mumbaai,"August 27, 2021",2010,6,133 min,"Mumbai's top mob boss rules the underworld with honor and compassion, but his power-hungry protégé will shake up the world of organized crime."
103,0,Once Upon a Time in Mumbai Dobaara!,"August 27, 2021",2013,6,142 min,"This turbulent sequel to Once Upon a Time in Mumbai carries on the saga of the gangland don Shoaib Khan, who continues pressing for more control."
104,0,Ragini MMS,"August 27, 2021",2011,8,93 min,A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity.
105,0,Ragini MMS 2,"August 27, 2021",2014,8,113 min,The horror continues when Ragini's video goes viral and a sleazy director decides to make a movie about the incident in the original house.
106,0,Shootout at Lokhandwala,"August 27, 2021",2007,8,116 min,"Based on a true story, this action film follows an incident that stunned a nation in the early 1990s. In Mumbai, India, the notorious gangster Maya holds off veteran cop Khan and a force of more than 200 policemen in a six-hour bloody gunfight."
107,0,Shor In the City,"August 27, 2021",2011,6,106 min,"When three small-time Mumbai crooks steal a bag on a train, they find that it's filled with weapons and realize that their lives may be in danger."
108,0,The Dirty Picture,"August 27, 2021",2011,6,145 min,"After running away from home in search of movie stardom, a village girl rises to become a prominent sex symbol."
109,0,Really Love,"August 25, 2021",2020,8,95 min,A rising Black painter tries to break into a competitive art world while balancing an unexpected romance with an ambitious law student.
110,0,The November Man,"August 25, 2021",2014,5,108 min,"An ex-CIA agent emerges from retirement to protect an important witness, but he soon discovers that old friends can make the most dangerous enemies."
111,0,The Old Ways,"August 25, 2021",2020,8,90 min,"A reporter visits her birthplace in Veracruz for a story about tribal culture, only to be kidnapped by locals who believe she's demonically possessed."
112,0,The Water Man,"August 25, 2021",2021,3,92 min,"Desperate to save his ailing mother, 11-year-old Gunner runs away from home on a quest to find a mythic figure rumored to have the power to cheat death."
113,0,Sweet Girl,"August 20, 2021",2021,5,110 min,"He lost the love of his life to a pharmaceutical company's greed. Now his daughter is without a mother, and he's without justice. For now."
114,0,Like Crazy,"August 19, 2021",2011,4,91 min,A spirited exchange student and an American man fall in love in LA. But their romance faces an uphill battle when she is forced to return to England.
115,0,Bombay,"August 18, 2021",1995,6,135 min,"Years after they elope against their family’s wishes, a couple and their sons become caught in the throes of conflict in their city."
116,0,Pahuna,"August 18, 2021",2018,9,82 min,"Fleeing unrest in their native Nepal, three young siblings separated from their parents must beat the odds to survive on their own in India."
117,0,Walk of Shame,"August 16, 2021",2014,5,94 min,"After a night of boozy carousing, a local newscaster finds herself stranded on the streets of LA just hours before the job interview of a lifetime."
118,0,The Piano,"August 15, 2021",1993,5,121 min,"With her daughter and her beloved piano in tow, a mute Scottish woman arrives in New Zealand, where a gruff loner sets out to seduce her."
119,0,Beckett,"August 13, 2021",2021,8,110 min,An American tourist goes on the run in Greece after a tragic accident plunges him into a political conspiracy that makes him a target for assassination.
120,1,Gone for Good,"August 13, 2021",2021,8,1 Season,"Ten years after losing two loved ones, a man is plunged into another dizzying mystery when his girlfriend vanishes. Based on a Harlan Coben novel."
121,1,Valeria,"August 13, 2021",2021,8,2 Seasons,"A writer in creative and marital crises finds support from three friends, who are also discovering themselves. Based on the novels by Elísabet Benavent."
122,0,Lokillo: Nothing's the Same,"August 12, 2021",2021,8,64 min,"Through songs and puns, comedian Lokillo Florez hilariously reviews how Latin Americans have adjusted to a new world where no-hugging policies prevail."
123,0,Monster Hunter: Legends of the Guild,"August 12, 2021",2021,9,59 min,"In a world where humans and fearsome monsters live in an uneasy balance, young hunter Aiden fights to save his village from destruction by a dragon."
124,0,Brother Jekwu,"August 11, 2021",2016,6,101 min,"Chasing wild success, a village hustler follows his cousin from Nigeria to Kenya and stumbles into the shady business affairs of a notorious overlord."
125,0,La diosa del asfalto,"August 11, 2021",2020,8,127 min,"A woman from a tough neighborhood outside Mexico City comes home a rock star, inadvertently provoking a confrontation with the ghosts of her past."
126,0,The Kissing Booth 3,"August 11, 2021",2021,6,114 min,"Determined to make the most of her final summer before college, Elle plans the ultimate bucket list as she navigates what comes next with Noah and Lee."
127,0,The Railway Man,"August 11, 2021",2013,5,108 min,"Decades after World War II, a still-shattered soldier unexpectedly falls in love and sees a bizarre coincidence bring his past back into focus."
128,0,Quartet,"August 8, 2021",2012,4,98 min,"To save their posh retirement home, former opera stars plan a gala recital — until the biggest diva among them refuses to sing."
129,0,Slay,"August 8, 2021",2021,8,86 min,"In pursuit of both success and validation, a group of tech-savvy individuals juggle intimate encounters, first impressions and romantic opportunities."
130,0,The Paper Tigers,"August 7, 2021",2021,4,111 min,"After reuniting as middle-aged men, three kung-fu prodigies must set their differences aside and dust off their skills to avenge their beloved mentor."
131,1,Navarasa,"August 6, 2021",2021,8,1 Season,"From amusement to awe, the nine human emotions of Indian aesthetic theory are explored in this anthology series."
132,0,Quam's Money,"August 6, 2021",2020,8,115 min,"In this sequel to ""New Money,"" Quam, a security guard turned multimillionaire, lives the good life with his fortune until he falls victim to fraud."
133,0,The Swarm,"August 6, 2021",2021,6,102 min,"A single mother breeds locusts as high-protein food, but has trouble getting them to reproduce — until she finds they have a taste for blood."
134,0,Vivo,"August 6, 2021",2021,3,100 min,A music-loving kinkajou embarks on the journey of a lifetime to fulfill his destiny and deliver a love song for an old friend.
135,0,Chennai Express,"August 5, 2021",2013,6,135 min,What could have been a sad journey turns joyful for Rahul when he falls in love with a woman en route to submerging his grandfather's ashes.
136,0,Esperando la carroza,"August 5, 2021",1985,8,95 min,Cora has three sons and a daughter and she´s almost 80. One day during a family reunion the big question comes up: who will be her heir?
137,0,Lady Boss: The Jackie Collins Story,"August 5, 2021",2021,6,97 min,"""Queen of Sleaze"" or feminist pioneer? Powerhouse novelist Jackie Collins created a brash sex-positive persona while hiding her private struggles."
138,0,Tango Feroz,"August 5, 2021",1993,8,124 min,"One of the first rock stars in Argentina, Tango leads a full life during an era of social unrest – one of both glory and despair."
139,0,'76,"August 4, 2021",2016,9,118 min,"When her husband is accused of taking part in an attempted military coup, a pregnant woman's life takes an emotional turn. Inspired by true events."
140,0,Aftermath,"August 4, 2021",2021,8,115 min,"Desperate to save their marriage, a young couple takes a deal and moves into their dream home, but disturbing events reveal the house's troubled history."
141,0,American Masters: Inventing David Geffen,"August 4, 2021",2012,8,115 min,"The son of Jewish immigrants, David Geffen emerged from a humble upbringing to become one of the most powerful media personalities in America."
142,0,Heavy,"August 3, 2021",1995,5,104 min,Overweight Victor hides from the world making pizzas in his mother's gloomy dive until a new waitress blows in and disrupts his isolation.
143,0,Ije: The Journey,"August 3, 2021",2010,8,106 min,"When her sister is accused of multiple murders, a Nigerian woman travels to Los Angeles to uncover the truth and fight for her sibling’s freedom."
144,1,Office Girls,"August 3, 2021",2011,6,1 Season,"A department store mogul has his son work incognito in a menial job to prove his worthiness, while female co-workers teach him how normal people live."
145,0,Beethoven,"August 1, 2021",1992,3,87 min,"A father reluctantly agrees to let his children keep a St. Bernard puppy, but the playful pooch soon turns into a full-grown engine of destruction."
146,0,Beethoven's 2nd,"August 1, 2021",1993,3,88 min,"After St. Bernard Beethoven sires a brood with Missy, he and the Newton kids must intervene when Missy's owner tries to sell the puppies."
147,0,Beowulf,"August 1, 2021",2007,4,114 min,This deftly animated take on a legendary Old English epic tells the timeless tale of a Scandinavian hero who's known for slaying dragons.
148,0,Boyka: Undisputed,"August 1, 2021",2016,5,90 min,The fourth film in the action franchise finds Boyka taking on brutal gangsters to protect the widow of a man he unintentionally killed in the ring.
149,0,Catch Me If You Can,"August 1, 2021",2002,4,142 min,"An FBI agent makes it his mission to put cunning con man Frank Abagnale Jr. behind bars. But Frank not only eludes capture, he revels in the pursuit."
150,0,Cloudy with a Chance of Meatballs,"August 1, 2021",2009,3,90 min,"When inventor Flint Lockwood makes clouds rain food, the citizens of Chewandswallow can feed themselves. But a bowl of disaster is about to overflow."
151,0,Deep Blue Sea,"August 1, 2021",1999,5,105 min,Scientists conduct research on sharks in search of an Alzheimer's cure. But a dangerous shortcut leads to huge sharks with near-human intelligence.
152,0,Ferris Bueller's Day Off,"August 1, 2021",1986,4,103 min,"After faking an illness to skip school, popular teen Ferris Bueller enjoys a fun-filled day in Chicago with his girlfriend and his uptight best friend."
153,0,Five Feet Apart,"August 1, 2021",2019,4,116 min,A teen with cystic fibrosis shakes up her daily routine and challenges hospital protocol when she falls for a fellow patient.
154,0,Freedomland,"August 1, 2021",2006,5,113 min,"When a woman reports that her infant son was kidnapped by a black man, an African American detective and a white activist team up to dig for details."
155,0,Good Luck Chuck,"August 1, 2021",2007,5,99 min,"Every time Chuck breaks up with a girlfriend, she ends up engaged to her next boyfriend. Soon, women are dating Chuck in hopes of meeting Mr. Right."
156,0,Inception,"August 1, 2021",2010,4,148 min,A troubled thief who extracts secrets from people's dreams takes one last job: leading a dangerous mission to plant an idea in a target's subconscious.
157,0,Magnolia,"August 1, 2021",1999,5,189 min,"Through chance, history and divine intervention, a cast of eclectic characters weaves and warps through each other's lives on a random day in California."
158,0,Major Payne,"August 1, 2021",1995,4,97 min,A hardened Marine is given his marching orders and must now lead a disorderly group of mismatched cadets into a junior ROTC competition.
159,0,My Girl,"August 1, 2021",1991,4,102 min,This coming-of-age charmer follows a summer in the life of an 11-year-old girl who learns about love and loss as she grapples with profound changes.
160,0,My Girl 2,"August 1, 2021",1994,3,99 min,A teen makes surprising discoveries when she talks to her dead mother's high school friends for an essay about someone she admires but has never met.
161,0,Open Season: Scared Silly,"August 1, 2021",2015,3,85 min,"When a spooky werewolf tale scares Boog out of joining the annual camping trip, his friends hatch a plan to cure him of his fear."
162,0,Pineapple Express,"August 1, 2021",2008,5,112 min,"After witnessing a murder, a perpetually stoned process server and his good-natured dealer go on the run from a drug lord who's out to kill them."
163,0,Planet 51,"August 1, 2021",2009,3,91 min,"After landing on a planet reminiscent of 1950s suburbia, a human astronaut tries to avoid capture, recover his spaceship and make it home safely."
164,0,Poms,"August 1, 2021",2019,4,91 min,"After moving to a retirement community, loner Martha befriends a fun-loving neighbor and forms a cheerleading club for young-at-heart seniors."
165,0,Seabiscuit,"August 1, 2021",2003,4,141 min,An ungainly-looking colt becomes a winning thoroughbred in this Depression-era drama based on the true story of champion racehorse Seabiscuit.
166,0,Space Cowboys,"August 1, 2021",2000,4,130 min,A retired engineer agrees to help NASA prevent a Russian satellite from falling to Earth if he and his over-the-hill pals can man the mission.
167,0,Team America: World Police,"August 1, 2021",2004,5,98 min,"In this musical satire, an all-marionette police force takes on the challenging role of keeping the peace on a troubled planet."
168,0,The Edge of Seventeen,"August 1, 2021",2016,5,105 min,A troubled teenager finds high school life even less bearable after she catches her childhood best friend hooking up with her popular older brother.
169,0,The Haunting in Connecticut 2: Ghosts of Georgia,"August 1, 2021",2013,5,101 min,A couple's Georgia dream home becomes a living nightmare when their daughter begins to have frightening visions from the property's terrible past.
